area_name,area_short_name,area_match_name,area_type,period,0-14,15-39,40-64,65+,total,median_age
North Island,North Island,north island,island,1996,666300,1083200,751300,309200,2810100,32.5
North Island,North Island,north island,island,2001,686300,1061900,863200,332900,2944300,34.1
North Island,North Island,north island,island,2006,696400,1125900,990700,372200,3185100,35.2
North Island,North Island,north island,island,2013,713700,1126000,1097700,461300,3398700,36.8
North Island,North Island,north island,island,2018,744000,1297800,1168200,543700,3753700,36.5
North Island,North Island,north island,island,2019,752700,1319200,1181500,562300,3815700,36.7
North Island,North Island,north island,island,2020,761800,1352900,1201000,586700,3902500,36.8
North Island,North Island,north island,island,2021,763600,1347700,1207800,606700,3925800,37.2
South Island,South Island,south island,island,1996,193000,350300,256900,120800,921100,34.3
South Island,South Island,south island,island,2001,190700,326600,290400,127600,935400,36.6
South Island,South Island,south island,island,2006,191800,337600,330000,139400,998800,37.9
South Island,South Island,south island,island,2013,194900,326200,357100,164600,1042800,40
South Island,South Island,south island,island,2018,202300,378900,373900,191200,1146200,39.4
South Island,South Island,south island,island,2019,203200,386100,376000,197500,1162800,39.4
South Island,South Island,south island,island,2020,204500,396900,380500,205100,1187000,39.5
South Island,South Island,south island,island,2021,204900,397400,381400,212300,1196000,39.7
New Zealand,New Zealand,new zealand,nz,2018,946400,1676900,1542300,734900,4900600,37.2
New Zealand,New Zealand,new zealand,nz,2018,946400,1676900,1542300,734900,4900600,37.2
New Zealand,New Zealand,new zealand,nz,2019,956000,1705600,1557700,759800,4979200,37.3
New Zealand,New Zealand,new zealand,nz,2019,956000,1705600,1557700,759800,4979200,37.3
New Zealand,New Zealand,new zealand,nz,2020,966400,1750100,1581800,791900,5090200,37.4
New Zealand,New Zealand,new zealand,nz,2020,966400,1750100,1581800,791900,5090200,37.4
New Zealand,New Zealand,new zealand,nz,2021,968600,1745400,1589500,819100,5122600,37.7
New Zealand,New Zealand,new zealand,nz,2021,968600,1745400,1589500,819100,5122600,37.7
NA,NA,NA,nz,1996,859500,1433900,1008500,430100,3732000,32.9
NA,NA,NA,nz,2001,877200,1388800,1153900,460600,3880500,34.7
NA,NA,NA,nz,2006,888300,1463700,1321000,511600,4184600,35.8
NA,NA,NA,nz,2013,908800,1452300,1455000,626000,4442100,37.6
Auckland Region,Auckland Region,auckland,regc,1996,255600,451400,296500,112300,1115800,32.1
Auckland Region,Auckland Region,auckland,regc,2001,277800,469900,351000,119600,1218300,33.2
Auckland Region,Auckland Region,auckland,regc,2006,298200,525100,415600,134000,1373000,33.8
Auckland Region,Auckland Region,auckland,regc,2013,311500,539400,472500,169800,1493200,34.8
Auckland Region,Auckland Region,auckland,regc,2018,324100,630300,503400,197000,1654800,34.6
Auckland Region,Auckland Region,auckland,regc,2019,328600,638300,510500,203900,1681300,34.9
Auckland Region,Auckland Region,auckland,regc,2020,333500,649300,520300,213700,1716900,35.1
Auckland Region,Auckland Region,auckland,regc,2021,333300,638200,523300,220800,1715600,35.6
Bay of Plenty Region,Bay of Plenty Region,bay of plenty,regc,1996,57700,80300,62900,29700,230600,33.6
Bay of Plenty Region,Bay of Plenty Region,bay of plenty,regc,2001,60400,78500,74000,33900,246900,35.8
Bay of Plenty Region,Bay of Plenty Region,bay of plenty,regc,2006,60300,80600,85200,39200,265300,37.7
Bay of Plenty Region,Bay of Plenty Region,bay of plenty,regc,2013,60400,78700,92400,48200,279700,40.2
Bay of Plenty Region,Bay of Plenty Region,bay of plenty,regc,2018,65600,95300,101400,58500,320800,39.9
Bay of Plenty Region,Bay of Plenty Region,bay of plenty,regc,2019,66700,98000,102900,60700,328200,39.9
Bay of Plenty Region,Bay of Plenty Region,bay of plenty,regc,2020,67700,102600,104800,63300,338400,39.7
Bay of Plenty Region,Bay of Plenty Region,bay of plenty,regc,2021,68500,103700,105600,65600,343400,39.9
Canterbury Region,Canterbury Region,canterbury,regc,1996,97900,184300,134300,64000,480400,34.4
Canterbury Region,Canterbury Region,canterbury,regc,2001,100100,176100,152800,67700,496700,36.4
Canterbury Region,Canterbury Region,canterbury,regc,2006,104700,185000,175600,74700,540000,37.6
Canterbury Region,Canterbury Region,canterbury,regc,2013,105700,179700,191700,85800,562900,39.5
Canterbury Region,Canterbury Region,canterbury,regc,2018,111600,211800,201200,98200,622800,38.4
Canterbury Region,Canterbury Region,canterbury,regc,2019,112500,215700,202200,101300,631700,38.4
Canterbury Region,Canterbury Region,canterbury,regc,2020,113500,220800,204800,105000,644100,38.5
